subj,er_high,er_low,er_mid,RE_high,RE_low,RE_mid,PRE_1,PRE_2,PRE_3,PRE_4,PRE_5,PRE_6,RES_1,RES_2,RES_3,RES_4,RES_5,RES_6
BUL,-.531249123259329,-.641902347576672,-.526005284567144,-.484151674743048,-3.62863463734831,-.448897498988855,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,.62584776036271,.17312864404687,-.1659728330832,-2.46176362697594,.130221736987137,-.218756692526812
ELT,.352453078307386,-1.29250205600996,-.692640383697343,-.00291680198955011,.31843204915139,-.877941190961622,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,-.0247519480705785,.00649354491667065,.717729368483515,1.48530305952377,-.29882195498563,.262478180226686
GRU,.957707391421594,-.887721320320831,-.429486002326512,-1.30869019096911,-2.11937978524392,-.803732498605957,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,.380028787618551,.269647926287502,1.32298368159772,-.952508774871545,-.224613262629965,-1.04329520875287
KOK,-1.23973250303693,-.368151573081573,-.622865607709616,-.451977296116994,-1.06611163366746,-.635989469201253,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,.899598534857809,.0762683209043977,-.874456212860801,.100759376704915,-.0568702332252613,-.186582313900758
KOS,-.447529231219763,-1.00273254366421,-1.14648711122917,-.114070088657302,-.138403868512692,-.336034725639037,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,.265017564275172,-.447353182615156,-.0822529410436345,1.02846714185968,.243084510336955,.151324893558934
KOZ,-.2030100095419,-1.21883777013642,-1.13513266469466,.435082460734734,-.728796456924129,-.347889413965552,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,.0489123378029617,-.435998736080646,.162266280634229,.438074553448246,.23122982201044,.70047744295097
POG,.922547597235462,-1.34225254080882,-.615410850792405,.532777293386432,-1.17346508785518,-.887959091720279,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,-.0745024328694384,.0837230778216087,1.28782388741159,-.00659407748280505,-.308839855744287,.798172275602668
ROM,-.956808135852127,-2.5987789090436,-.513081202530563,-.434293928626922,-.646155005523625,-.56847509412249,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,-1.33102880110422,.186052726083451,-.591531845675998,.52071600484875,.0106441418535017,-.168898946410686
SHE,-2.14186567563955,-2.05687191081235,-.61109624997871,-.560314612964366,-1.31932466742745,-.305154140578881,-1.26775010793938,-.699133928614014,-.365276290176129,-1.16687101037237,-.579119235975992,-.265394982216236,-.789121802872969,.0880376786353037,-1.77658938546342,-.152453657055075,.273965095397111,-.29491963074813
