"","subj","lang","tmplab","N","mu_N1","sd","se","ci"
"1","BUL","er","high",406,-0.369587061259836,12.0488121842145,0.59797250840986,1.17551749296855
"2","BUL","er","low",406,-1.05856060726969,12.1155109865762,0.601282714390861,1.18202482395997
"3","BUL","er","mid",1894,-0.251384291588868,11.7125499610452,0.26912960196854,0.527821807159403
"4","BUL","RE","high",445,-0.271543382057699,10.4739655315831,0.496513584133145,0.975808714951469
"5","BUL","RE","low",445,-0.979138518788036,11.2719694277503,0.534342596787753,1.05015487869405
"6","BUL","RE","mid",2075,-0.682165916535674,10.7472912863849,0.235933694988736,0.462691564174067
"7","ELT","er","high",406,-0.515944203863773,7.59441760551471,0.376904617322466,0.740933679411723
"8","ELT","er","low",407,-0.828146014942028,7.27107165405142,0.36041364100841,0.708509849736715
"9","ELT","er","mid",1891,-0.309803592205858,8.03845841503464,0.184853213581084,0.362537809378656
"10","ELT","RE","high",447,-0.101127909113974,7.49469689776962,0.354486999251824,0.696672305853301
"11","ELT","RE","low",447,-0.506617623163191,8.05669562509423,0.381068626921374,0.748913104192774
"12","ELT","RE","mid",2083,-0.782192676755293,7.89215792796923,0.172922351323181,0.339118724445593
"13","GRU","er","high",198,1.18616373029026,13.6939411198081,0.973186018824879,1.91919974369091
"14","GRU","er","low",198,-0.916251926527926,13.10378752427,0.931245629048688,1.83648998034479
"15","GRU","er","mid",923,-0.480919326992047,12.662816469028,0.416801681029585,0.817990083770347
"16","GRU","RE","high",196,-0.11273356627334,10.7084643626263,0.764890311616163,1.50851977134538
"17","GRU","RE","low",198,-0.220374876073381,10.9948564726662,0.781370425399851,1.54092423354564
"18","GRU","RE","mid",917,-1.03391191297142,11.7879601656013,0.389272739783712,0.763970005582333
"19","KOS","er","high",404,-0.277797881891884,8.10611864577873,0.403294476040224,0.792823677484155
"20","KOS","er","low",404,-0.648288120426537,7.8614396486007,0.391121240947452,0.768892704990082
"21","KOS","er","mid",1885,-0.844391377083041,8.20715516433131,0.189032712832044,0.370735483254611
"22","KOS","RE","high",444,0.119661586422986,8.36935331251807,0.39719193079271,0.780614571878752
"23","KOS","RE","low",444,0.427507539441004,7.52302815927719,0.357027116482457,0.701677320397301
"24","KOS","RE","mid",2074,-0.625159603867423,8.25177377950285,0.181193634880374,0.355340469533911
"25","KOZ","er","high",404,-1.92005523803211,20.957869899767,1.04269299889253,2.04979672914367
"26","KOZ","er","low",404,-0.643719807413297,19.9609318529396,0.993093477246103,1.95229062011069
"27","KOZ","er","mid",1883,-0.702805824142182,21.8758134758917,0.504125947998681,0.988704557170036
"28","KOZ","RE","high",448,0.277715223189603,20.7245697261735,0.979143884362017,1.92429701755978
"29","KOZ","RE","low",448,-1.39971278627468,22.0665528483458,1.04254662730691,2.04890149204256
"30","KOZ","RE","mid",2088,-0.0806177718747789,21.9378191187503,0.480096128867487,0.941517153229362
"31","POG","er","high",406,-0.346450373721276,8.92994834124747,0.44318589483718,0.871231979214906
"32","POG","er","low",406,-1.03152701473113,9.6797311004054,0.480396988379124,0.944382986620522
"33","POG","er","mid",1895,-0.342676772507498,9.6455006723321,0.221574699245254,0.434556131377437
"34","POG","RE","high",446,-0.297515835754897,9.04142712930827,0.428123982855894,0.841396007989868
"35","POG","RE","low",446,-0.648052477705569,9.5934159334005,0.454261410268629,0.892764134899036
"36","POG","RE","mid",2082,-0.673766664218919,9.43050483746,0.206678156720997,0.405317484596728
"37","ROM","er","high",404,-0.262632544783994,8.2033314828155,0.408130995451094,0.802331635895089
"38","ROM","er","low",405,-1.10763779041741,8.48414704398041,0.421580656032091,0.828765713285821
"39","ROM","er","mid",1894,-0.688223173879894,8.06159740257736,0.185238441449742,0.363292957022332
"40","ROM","RE","high",444,-0.243295611025855,8.38006580745199,0.397700323303759,0.781613732666251
"41","ROM","RE","low",446,-0.167710202596674,7.97618173840665,0.377683151674127,0.742264177736119
"42","ROM","RE","mid",2082,-0.475081534564085,7.95976158564867,0.174445470397909,0.342105815064056
"43","SHE","er","high",406,-0.913176360472818,7.0822527614467,0.35148630289908,0.690965373467488
"44","SHE","er","low",407,-0.470298409598344,7.06791017573556,0.350343300404398,0.688713330692146
"45","SHE","er","mid",1901,-0.457004155581478,7.01711156078178,0.160941232452218,0.315640090524267
"46","SHE","RE","high",446,-0.700190614494224,7.02916681020376,0.33284069515839,0.654134884793658
"47","SHE","RE","low",446,-0.604188862162385,7.53505086478326,0.356794999408414,0.701212499637133
"48","SHE","RE","mid",2084,-0.49206490530669,7.72715745094802,0.169266457184249,0.33194904292758
